ἄνθρωπος, -ου, ὁ|a man (anthropology)
μνημονεύω|I remember (cf. mnemonics)
παράπτωμα, -ατος, τό|a trespass
πειρασμός, -οῦ, ὁ|temptation
τελώνης, -ου, ὁ|a taxgatherer
τεσσαράκοντα, indeclinable|forty
τιμάω|I honor (Timothy, honoring God)
ὑπακούω|I obey
χιλιάς, -άδος, ἡ|a thousand (chiliasm, millenarianism)  
αἰτία, -ας, ἡ|a cause, accusation (etiology, the investigation of causes)
ἀκροβυστία, -ας, ἡ|uncircumcision
βάπτισμα, -ατος, τό|baptism (baptism)
γονεύς, -έως, ὁ|a parent (cf. gonad)
ἐνεργέω|I work, effect (cf. energy)
ἐπίγνωσις, -εως, ἡ|knowledge
ἰχθύς, -ύος, ὁ|a fish (ichthyology)
κρύπτω|I conceal (cryptic)
μαρτύριον, -ου, τό|a testimony, witness, proof (cf. martyrdom)
ξύλον, -ου, τό|wood, tree (xylophone)
προάγω|I lead forth, go before
σκηνή, -ῆς, ἡ|a tent, tabernacle (scene)
σοϕός, -ή, -όν|wise (cf. sophomore, literally, a wise fool [μωρός])
ὑπηρέτης, -ου, ὁ|a servant, assistant
ὑψόω|I lift up, exalt (cf. hypsophobia, fear of high places)  
ἀπέχω|I have received (payment); I am distant
γεωργός, -οῦ, ὁ|a farmer (George)
διακρίνω|I discriminate, judge; middle, I doubt
δῶρον, -ου, τό|a gift (Theodore, Dorothea, [or Dorothy], gift of God)
ἐπαίρω|I lift up
ἐπάνω|above; with the gen., over
ἐπιβάλλω|I lay upon
ἐπιλαμβάνομαι|I take hold of
ἐπουράνιος, -ιον|heavenly
ἡγεμών, -όνος, ὁ|a leader, a (Roman) governor (cf. hegemony, leadership, especially of one state of a confederacy)
κοινωνία, -ας, ἡ|fellowship; contribution
κρείσσων or κρείττων, -ονος|better
κριτής, -οῦ, ὁ|a judge (critic)
κτίσις, -εως, ἡ|creation, creature
μεριμνάω|I am anxious, distracted
μέχρι or μέχρις|until; with the gen., as far as
νηστεύω|I fast
παλαιός, -ά, -όν|old (palaeography)
παρατίθημι|I set before; middle, I entrust
πότε|when?
προϕητεία, -ας, ἡ|a prophecy (prophecy)
τέλειος, -α, -ον|complete, perfect, mature (cf. teleology)
τοσοῦτος, -αύτη, -οῦτον and -οῦτο|so great, so much; plural, so many
τρέχω|I run  
ἀληθῶς|truly
ἀνάγκη, -ης, ἡ|necessity
ἀποκάλυψις, -εως, ἡ|a revelation (apocalypse)
ἀπώλεια, -ας, ἡ|destruction (cf. Apollyon)
ἀριθμός, -οῦ, ὁ|a number (arithmetic)
βλασϕημία, -ας, ἡ|reproach, blasphemy (blasphemy)
δέησις, -εως, ἡ|an entreaty
δεσμός, -οῦ, ὁ|a fetter, bond
εἰσπορεύομαι|I enter
ἐλέγχω|I convict, reprove (elenchus, a logical refutation)
ἐμβαίνω|I embark
ἐπιτρέπω|I permit
θυμός, -οῦ, ὁ|wrath
καταγγέλλω|I proclaim
κατακρίνω|I condemn
κατέχω|I hold back, hold fast
κενός, -ή, -όν|empty, vain (cenotaph, sepulchral monument to a person whose body is not contained in it)
κληρονομέω|I inherit
κοιμάομαι|I sleep, fall asleep (cemetery, literally, a sleeping chamber)
κόπος, -ου, ὁ|labor, trouble
κρυπτός, -ή, -όν|hidden (cryptic)
μήν, μηνός, ὁ|a month (menology, a calendar, especially that of the Greek Church, provided with short biographies of saints)
μήτι|interrogative particle in questions expecting a negative answer
οἰκοδομή, -ῆς, ἡ|a building; edification
παράχρημα|immediately
ποιμήν, -ένος, ὁ|a shepherd (poimenic, pertaining to pastoral theology)
πόλεμος, -ου, ὁ|a war (polemics)
προστίθημι|I add, add to
πυλών, -ῶνος, ὁ|a vestibule, gateway (pylon)
στέϕανος, -ου, ὁ|a crown (Stephen)
ταράσσω|I trouble
τίκτω|I give birth to
ὑποκριτής, -οῦ, ὁ|a hypocrite
ὑπομένω|I tarry; I endure
ϕανερός, -ά, όν|manifest
χρύσεος, -α, -oν, contracted χρυσοῦς, -ῆ, -οῦν|golden (chrysanthemum, literally, golden flower)  
ἀρέσκω|I please
αὑτοῦ|of himself
ἄϕεσις, -εως, ἡ|a sending away, remission (aphesis, the gradual loss of a short unaccented vowel at the beginning of a word; as ‘squire’ for ‘esquire’)
βρῶμα, -ατος, τό|food
γάμος, -ου, ὁ|a marriage, wedding (bigamy, double marriage; digamy, second marriage after the decease of the first spouse, condemned as a sin by certain Church Fathers)
δέσμιος, -ου, ὁ|a prisoner
ἑκατόν|one hundred (hecatomb, great public sacrifice, properly of 100 oxen [βοῦς])
ἐξίστημι|I amaze, am amazed
ἐπαύριον|on the morrow
ἐπιμένω|I continue
ἕτοιμος, -η, -oν|ready, prepared
θησαυρός, -οῦ, ὁ|a storehouse, treasure (thesaurus)
ἵππος, -ου, ὁ|a horse (hippopotamus, literally, a river-horse)
καθάπερ|even as, as
καταλύω|I destroy; I lodge (cf. catalyze)
κερδαίνω|I gain
νίπτω|I wash
νυμϕίος, -ου, ὁ|a bridegroom (akin to nuptial)
περιτέμνω|I circumcize
πλήρωμα, -ατος, τό|fullness (pleroma, in Valentinian Gnosticism, the world of light, including the body of eons)
πλησίον|near; as a noun, a neighbor
πολλάκις|often
ποταμός, -οῦ, ὁ|a river (hippopotamus, literally, a river-horse)
ῥύομαι|I rescue, deliver
σκοτία, -ας, ἡ|darkness (scotoscope, a field-glass for seeing by night)
χάρισμα, -ατος, τό|a gift (freely and graciously given) (charism, a special spiritual gift or power divinely conferred; 1 Cor. 12)
ὡσαύτως|likewise  
ἀθετέω|I reject (athetize, to reject a text or passage as spurious)
ἀνακρίνω|I examine
ἀπάγω|I lead away
δεῖπνον, -ου, τό|a supper
δηνάριον, -ου, τό|a denarius (denarius)
διαλογίζομαι|I debate
διατάσσω|I command
διψάω|I thirst (cf. dipsomania, a craving for alcohol)
ἐκτείνω|I stretch forth (cf. extend)
ἐκχέω|I pour out
ἐντέλλομαι|I command
ἔπειτα|then
ἐπιθυμέω|I desire
ἐργάτης, -ου, ὁ|a workman (cf. energy)
εὐλογία, -ας, ἡ|a blessing (eulogy)
ζῆλος, -ου, ὁ|zeal, jealousy (zeal)
θεμέλιος, -ου, ὁ|a foundation
κακῶς|badly
κατέρχομαι|I come down, go down
κλείω|I shut
κλέπτης, -ου, ὁ|a thief (kleptomaniac)
οὐδέποτε|never
πάθημα, -ατος, τό|suffering (cf. pathological; apathy)
παρέχω|I offer, afford
πέτρα, -ας, ἡ|a rock (petrify)
πλήρης, -ες|full
προσδοκάω|I wait for
ῥαββί, indeclinable, ὁ|(my) master (rabbi)
ῥίζα, -ης, ἡ|a root (cf. rhizome)
συκῆ, -ῆς, ἡ|a fig tree (sycophant, a flatterer, literally, a fig-shower [the reason for the name is not definitely known])
συλλαμβάνω|I take, conceive
συνίστημι or συνιστάνω|transitive tenses, I commend; intransitive tenses, I stand with, consist
σϕραγίς, -ῖδος, ἡ|a seal (sphragistics, the science of seals, their history, age, distinctions, etc.)
τέρας, -ατος, τό|a wonder
τολμάω|I dare
τροϕή, -ῆς, ἡ|food (cf. atrophy, wasting due to malnutrition)
ὑστερέω|I lack
χορτάζω|passive, I eat to the full, am satisfied, am filled
ὦ|O!  
ἀνέχομαι|I endure
γεύομαι|I taste (cf. gusto, disgust)
γνωστός, -ή, -όν|known
γυμνός, -ή, -όν|naked (gymnasium)
δέρω|I beat
διαμαρτύρομαι|I testify solemnly
ἐλαία, -ας, ἡ|an olive tree
ἐπαγγέλλομαι|I promise
εὐσέβεια, -ας, ἡ|piety, godliness (Eusebius)
εὐχαριστία, -ας, ἡ|thanksgiving (Eucharist)
θρίξ, τριχός, ἡ|a hair (trichina, a thread-like worm)
καταλαμβάνω|I overtake, apprehend
κατεσθίω|I eat up, devour
κλάω|I break (iconoclast, literally, a breaker of images)
κληρονόμος, -ου, ὁ|an heir
κτίζω|I create
λῃστής, -οῦ, ὁ|a robber
λύπη, -ης, ἡ|pain, grief
μοιχεύω|I commit adultery
νήπιος, -ου, ὁ|an infant, child
νομίζω|I suppose
ξηραίνω|I dry up (cf. xerophagy, among early Christians, the practice of living on a diet of dry food, especially during Lent and other fasts)
ὅθεν|whence, wherefore
οἰκουμένη, -ης, ἡ|the (inhabited) world (cf. ecumenical)
ὁμοιόω|I make like, liken (homoeoteleuton, the occurrence of the same or similar endings of lines, a frequent source of error in copied manuscripts)
παρθένος, -ου, ἡ|a virgin (parthenogenesis)
παύομαι|I cease
ποτίζω|I give drink to (akin to potion)
σαλεύω|I shake
σκάνδαλον, -ου, τό|a cause of stumbling (scandal)
συμϕέρω|I bring together; impersonally, it is profitable
σϕραγίζω|I seal (cf. sphragistics, the science of seals, their history, age, distinctions, etc.)
τράπεζα, -ης, ἡ|a table (trapeze, so called from the square or rectangle formed by the ropes and crossbar)
τύπος, -ου, ὁ|mark, example (type)
ὑπακοή, -ῆς, ἡ|obedience
χόρτος, -ου, ὁ|grass, hay
ὠϕελέω|I profit  
ἄκανθαι, -ῶν, αἱ|thorns (the acanthus plant)
ἀλλότριος, -α, -oν|another’s, strange
ἀμϕότεροι, -αι, -α|both
ἀνάκειμαι|I recline (at meals)
ἀναχωρέω|I depart
ἀνθίστημι|I resist
ἀνομία, -ας, ἡ|lawlessness
ἅπαξ|once, once for all
ἀπειθέω|I disbelieve, disobey
ἀτενίζω|I look intently, gaze upon intently
αὔριον|tomorrow
ἀϕίστημι|I withdraw, depart
γράμμα, -ατος, τό|a letter (of the alphabet); plural, writings
διαλογισμός, -οῦ, ὁ|a reasoning, questioning (cf. dialogue)
ἕκτος, -η, -oν|sixth
ἐλάχιστος, -η, -oν|least
ἐνιαυτός, -οῦ, ὁ|a year
ἐπίσταμαι|I understand (cf. epistemology, the science of the methods and grounds of knowledge)
εὐϕραίνω|I rejoice (cf. Euphrosyne, one of the three Graces in Greek mythology)
κατανοέω|I observe
κληρονομία, -ας, ἡ|an inheritance
κοινός, -ή, -όν|common, unclean (ceremonially)
κοινόω|I make common, I defile (ceremonially) (cf. cenobite, one dwelling in a convent community [where all is held in common])
κωϕός, -ή, -όν|deaf, dumb
λύχνος, -ου, ὁ|a lamp
μακρόθεν|from afar, afar
μακροθυμία, -ας, ἡ|long-suffering, patience, forbearance
μερίζω|I divide
μέτρον, -ου, τό|a measure (meter)
μύρον, -ου, τό|ointment
μωρός, -ά, -όν|foolish (moron)
νοέω|I understand (noetic)
ξένος, -η, -oν|strange; as a noun, a stranger, host (the chemical element xenon)
οἷος, -α, -oν|such as
ὄϕις, -εως, ὁ|a serpent (Ophites, Gnostics who revered the serpent as the symbol of hidden, divine wisdom)
ὀψία, -ας, ἡ|evening
πετεινά, -ῶν, τά|birds
προσδέχομαι|I receive, wait for
σεισμός, -οῦ, ὁ|an earthquake (seismograph)
σῖτος, -ου, ὁ|wheat (parasite, literally, one who sits by [παρά] another’s food and eats at his expense)
στηρίζω|I establish
τάλαντον, -ου, τό|a talent (talent)
ταπεινόω|I humble
ϕρόνιμος, -η, -oν|prudent
χωλός, -ή, -όν|lame  
ἀνά|with the acc., upwards, up; with numerals, each; ἀνὰ μέσον, into the midst, among
ἀναγγέλλω|I announce, report
ἀναλαμβάνω|I take up
ἀναστροϕή, -ῆς, ἡ|conduct
ἄνωθεν|from above, again
ἁρπάζω|I seize (cf. harpoon, harpy)
βοάω|I cry aloud
βουλή, -ῆς, ἡ|counsel, purpose
δαιμονίζομαι|I am demon possessed (demonize)
διαλέγομαι|I dispute (dialectics)
διαϕέρω|I differ
δράκων, -οντος, ὁ|a dragon (dragon)
εἶτα|then
ἐκπλήσσομαι|I am astonished, amazed
ἐλεημοσύνη, -ης, ἡ|alms (eleemosynary; alms)
ἐμπαίζω|I mock
ἕξ|six (Hexapla, the edition of the Old Testament compiled by Origen, in the third century, comprising six columns)
ἐξαποστέλλω|I send forth
ἔξωθεν|with the gen., from without
ἐπιζητέω|I seek for
ἐπιπίπτω|I fall upon
ζύμη, -ης, ἡ|leaven (enzyme)
θερισμός, -oῦ, ὁ|harvest (cf. thermal)
θύω|I sacrifice, kill (thyme)
καπνός, -oῦ, ὁ|smoke
καταισχύνω|I put to shame
κατακαίω|I burn up
καταντάω|I come to
καταρτίζω|I mend, fit, perfect
κλέπτω|I steal (cf. cleptomania)
παιδεύω|I teach, chastise (cf. pedagogue)
παιδίσκη, -ης, ἡ|a maid servant
παράδοσις, -εως, ἡ|a tradition
πρίν|before
πώς|at all, somehow, in any way
συνεργός, -οῦ, ὁ|a fellow worker (cf. synergism, the semi-Pelagian doctrine that there are two efficient agents in regeneration, namely the human will and the divine Spirit, which, in the strict sense of the term, co-operate)
τίμιος, -α, -oν|precious, honorable, (cf. Timothy, honoring God)
τρόπος, -oυ, ὁ|manner, way (in rhetoric, trope, a figurative use of a word)
τύπτω|I smite (cf. tympanum, the middle ear)
ὕψιστος, -η, -oν|highest
ϕύσις, -εως, ἡ|nature (physics)
χρυσίον, -oυ, τό|gold (cf. chrysanthemum, literally, golden flower)
χωρίζω|I separate, depart  
ἄδικος, -oν|unjust
ἀλέκτωρ, -ορος, ὁ|a cock (cf. alectryomancy, divination by means of a cock encircled by grains of corn placed on letters of the alphabet, the letters being then put together in the order in which the grains were eaten)
ἀναπαύω|I refresh; middle: I take rest
ἀναπίπτω|I recline
ἀπαρνέομαι|I deny
ἀσκός, -οῦ, ὁ|a (leather) bottle, wine-skin (in botany, ascidium, the leaf of the pitcher plant)
αὐλή, -ῆς, ἡ|a court (in Austro-German history, the Aulic Council)
βαπτιστής, -οῦ, ὁ|baptist (Baptist)
βασανίζω|I torment
βῆμα, -ατος, τό|judgment seat (in ecclesiastical architecture, bema, the inner part of the chancel, reserved for the clergy)
βροντή, -ῆς, ἡ|thunder (brontosaurus, literally, thunder-lizard)
γέεννα, -ης, ἡ|gehenna (Gehenna)
γόνυ, -ατος, τό|a knee (akin to genuflect)
δεῦτε|come!
διάνοια, -ας, ἡ|the mind, understanding, a thought
δίκτυον, -ου, τό|a net
ἔθος, -ους, τό|a custom (ethics)
ἐξάγω|I lead out
ἐξουθενέω|I despise
ἔσωθεν|from within, within
καίω|I burn (caustic)
κἀκεῖ (= καὶ ἐκεῖ)|and there
κάλαμος, -ου, ὁ|a reed (calamus)
κατάκειμαι|I lie down, lie sick, recline (at meals)
κολλάομαι|I join, cleave to (cf. colloid)
κομίζω|I receive
κράτος, -ους, τό|power, dominion (cf. democracy, rule of the people)
λίαν|greatly
λιμός, -οῦ, ὁ|hunger, famine (in medicine, limosis, excessive and morbid hunger)
λυχνία, -ας, ἡ|a lampstand
μάλιστα|especially
ὀδούς, -όντος, ὁ|a tooth (odontology)
οἰκοδεσπότης, -ου, ὁ|a householder
ὅραμα, -ατος, τό|a vision (panorama, a complete[πᾶν] view)
ὅρια, -ων, τά|boundaries (cf. horizon)
παραιτέομαι|I make excuse, refuse
πιάζω|I take
πληθύνω|I multiply
πλουτέω|I am rich (cf. plutocrat)
πόρνη, -ης, ἡ|a prostitute (pornography)
πρόθεσις, -εως, ἡ|a setting forth; a purpose (in the Eastern Church, the prothesis, referring to the placing of the eucharistic elements)
προσλαμβάνω|I receive
πρωΐ|in the morning, early
πῶλος, -ου, ὁ|a colt
ῥάβδος, -ου, ἡ|a staff, rod (rhabdomancy, divination by rods)
σαλπίζω|I sound a trumpet
σπλαγχνίζομαι|I have compassion (splanchnic)
σπουδή, -ῆς, ἡ|haste, diligence
στήκω|I stand, stand fast
συνέχω|I hold fast, oppress
ταχύ|quickly (tachygraphy, stenography, especially that of the ancient Greeks and Romans)
τρίς|thrice (in liturgics, the Trisagion)
τυγχάνω|I obtain, happen
ὑγιαίνω|I am in good health (cf. hygiene)
ὑγιής, -ές|whole, healthy (cf. hygiene)
ὑψηλός, -ή, -όν|high
ϕιάλη, -ης, ἡ|a cup, bowl (phial, vial)
ϕονεύω|I kill, murder
χοῖρος, -ου, ὁ|a pig
ψεύδομαι|I lie (pseudo-)  
ἀγαλλιάω|I exult
ἀγορά, -ᾶς, ἡ|a market-place (agora)
ἅλυσις, -εως, ἡ|a chain
ἀναστρέϕω|I return; I live
ἀπιστία, -ας, ἡ|unbelief
ἀρχαῖος, -α, -oν|old, ancient (archaic)
ἄϕρων, -oν|foolish
βρῶσις, -εως, ἡ|eating, food, rust
γέμω|I fill
δάκρυ, -υος, and δάκρυον, -ου, τό|a tear (akin to lachrymal)
διαμερίζω|I divide, distribute
δόλος, -ου, ὁ|guile
δωρεά, -ᾶς, ἡ|a gift
ἐάω|I permit
εἴδωλον, -ου, τό|an image, idol (idol)
εἴκοσι|twenty (icosahedron, a geometric figure with twenty faces)
εἰσάγω|I lead in
ἐκχύννομαι|I pour out
ἔλαιον, -ου, τό|olive-oil (akin to oil, oleo-)
ἐλευθερία, -ας, ἡ|liberty
ἐμβλέπω|I look at
ἐνδείκνυμαι|I show forth
ἔπαινος, -ου, ὁ|praise
ἐπαισχύνομαι|I am ashamed
ἐπισκέπτομαι|I visit, have a care for (cf. episcopal)
ζηλόω|I am zealous (cf. zeal)
ζῳοποιέω|I make alive
θανατόω|I put to death (cf. thanatopsis)
θάπτω|I bury (cf. cenotaph; epitaph)
κακία, -ας, ἡ|malice, evil
καταβολή, -ῆς, ἡ|a foundation (cf. katabolism)
κατασκευάζω|I prepare
κάτω|down, below
καύχημα, -ατος, τό|a boasting, ground of boasting
καύχησις, -εως, ἡ|boasting
κέρας, -ατος, τό|horn (rhinoceros, literally, nose-horn)
κλάδος, -ου, ὁ|a branch (of a tree) (in botany, cladophyll)
κλῆρος, -ου, ὁ|a lot (that which is cast or drawn); a portion (clergy; cleric, clerk)
κλῆσις, -εως, ἡ|a (divine) call, invitation, summons
κλητός, -ή, -όν|called
κράβαττος, -ου, ὁ|a mattress, pallet, bed (of a poor man)
λίμνη, -ης, ἡ|a lake (limnology, the scientific study of ponds and lakes)
μεταβαίνω|I depart
νεανίσκος, -ου, ὁ|a youth
νόσος, -ου, ἡ|a disease (nosophobia, a morbid fear of disease)
ὁμοθυμαδόν|with one accord
ὀνειδίζω|I reproach
παράγω|I pass by
παραλυτικός, -οῦ, ὁ|a paralytic (paralytic)
παρεμβολή, -ῆς, ἡ|a camp, army, fortress
περισσοτέρως|more abundantly
πηγή, -ῆς, ἡ|a spring, fountain
ποιμαίνω|I shepherd, rule (poimenic, pertaining to pastoral theology)
πρᾶγμα, -ατος, τό|a deed, matter, thing (pragmatic)
πραΰτης, -ῆτος, ἡ|gentleness, humility, courtesy
πρότερος, -α, -oν|former; as an adverb, before (cf. proto-)
πυνθάνομαι|I inquire
σάλπιγξ, -ιγγος, ἡ|a trumpet
σπλάγχνα, -ων, τά|bowels; heart, tender mercies, compassion (splanchnic)
σπουδάζω|I hasten, am eager
σϕόδρα|exceedingly
σχίζω|I split (schism; schizophrenia)
τελευτάω|I die
τριάκοντα, indeclinable|thirty
ὑμέτερος, -α, -oν|your
ὑπαντάω|I meet, go to meet
ὑποκάτω|under, below, down at
ὕστερον|later, afterwards (in rhetoric, hysteron-proteron, a reversing of the natural order of the sense, as ‘he is well and lives’)
ϕυτεύω|I plant
ϕωτίζω|I give light, enlighten (cf. photo-)
χείρων, -oν|worse, more severe
χίλιοι, -αι, -α|a thousand (chiliasm, millenarianism)
χιτών, -ῶνος, ὁ|a tunic (chiton)
χράομαι|I use (catachresis, misuse of a word; in rhetoric, a mixed metaphor)
χρυσός, -οῦ, ὁ|gold (chrysanthemum)
ψευδοπροϕήτης, -ου, ὁ|a false prophet  
ἁγιασμός, -οῦ, ὁ|sanctification
ᾅδης, -ου, ὁ|Hades (Hades)
ἀδύνατος, -oν|incapable, impossible
ἀκαθαρσία, -ας, ἡ|uncleanness
ἅμα|at the same time; with the dat., together with
ἀνατολή, -ῆς, ἡ|east, dawn (Anatolia)
ἀναϕέρω|I bring up, offer
ἄνομος, -oν|lawless, without law
ἀπολογέομαι|I defend myself (cf. apology)
ἀπολύτρωσις, -εως, ἡ|redemption
ἀσέλγεια, -ας, ἡ|licentiousness, debauchery, sensuality
ἀσπασμός, -οῦ, ὁ|a greeting
ἀϕαιρέω|I take away (aphaeresis, dropping of a letter or syllable from the beginning of a word, as ‘lone’ from ‘alone’)
ἀϕορίζω|I separate (aphorism)
βίβλος, -ου, ἡ|a book (Bible)
βίος, -ου, ὁ|life (biology)
δεσπότης, -ου, ὁ|a master, lord (despot)
διατρίβω|I continue (diatribe, a prolonged and acrimonious harangue)
δικαίωμα, -ατος, τό|regulation, righteous deed
διωγμός, -οῦ, ὁ|persecution
ἐγκαταλείπω|I leave behind, forsake, abandon
ἐκκόπτω|I cut out, cut off
ἐκπίπτω|I fall away
ἐμϕανίζω|I manifest
ἔνατος, -η, -ον|ninth (Ennead, one division of the collection made by Porphyry of the teachings of Plotinus, arranged in six divisions of nine books each)
ἔνοχος, -oν|involved in, liable, guilty
ἐξομολογέομαι|I confess, profess (in the ancient Church, exomologesis, the public confession of sin, usually accompanied by fasting, weeping, and mourning)
ἐπειδή|since, because
ἐπιδίδωμι|I give to
ἐπιτάσσω|I command
ἐπιτελέω|I complete, perform
θλίβω|I press, oppress
ἰσχύς, -ύος, ἡ|strength
κἀκεῖθεν (= καὶ ἐκεῖθεν)|and from there; and then
κοινωνός, -οῦ, ὁ|a partner, sharer (cf. cenobite, one dwelling in a convent community)
κοσμέω|I adorn (cosmetics)
μακράν|far away
μακροθυμέω|I am patient
μέλει|it is a care
μνῆμα, -ατος, τό|grave, tomb
νομικός, -ή, -όν|pertaining to the law; as a noun, one skilled in the Mosaic law, a lawyer
ξενίζω|I entertain (a stranger); I startle, bewilder
ὅδε, ἥδε, τόδε|this (here)
οἰκονόμος, -ου, ὁ|a steward (economy)
ὀνομάζω|I name (cf. onomasticon, a collection of proper names)
ὄντως|really (cf. ontology)
ὅρκος, -ου, ὁ|an oath
παντοκράτωρ, -ορος, ὁ|ruler of all, the Almighty
πατάσσω|I smite
πενθέω|I mourn
περιστερά, -ᾶς, ἡ|a dove
πλάνη, -ης, ἡ|a wandering, error (cf. planet, which to the ancients was apparently a wandering celestial body)
πλατεῖα, -ας, ἡ|a street (place)
πλεονεξία, -ας, ἡ|covetousness
ποικίλος, -η, -oν|varied, manifold
πόρνος, -ου, ὁ|a fornicator (pornography)
προέρχομαι|I go in front, precede
προσκαρτερέω|I continue in or with
πύλη, -ης, ἡ|a gate, porch (pylon)
σέβομαι|I reverence, worship
σιγάω|I am silent, become silent
σιωπάω|I am silent (aposiopesis, in rhetoric, a figure of speech in which the speaker breaks off suddenly)
στρατηγός, -οῦ, ὁ|a commander
συγγενής, -ές|kindred; as a noun, a relative, kinsman
συζητέω|I discuss, dispute
σύνδουλος, -ου, ὁ|a fellow slave
σϕάζω|I slay
τάσσω|I arrange, appoint, order (cf. tactics)
ταχέως|quickly (cf. tachygraphy)
τέταρτος, -η, -oν|fourth (cf. tetrarch, a ruler over a fourth part)
ὑπόδημα, -ατος, τό|a sandal, shoe
ϕείδομαι|I spare
χρηστότης, -ητος, ἡ|goodness, kindness
χωρίον, -ου, τό|a place, field (cf. chorography, describing, or description, of districts)
ψεῦδος, -ους, τό|a lie (cf. pseudo-)
ψεύστης, -ου, ὁ|a liar (cf. pseudo-)  
