סוּס|horse
י.שׁ.ב.|sit; live (qal)
י.ט.ב.|be pleasing; go well (qal); treat kindly (hifil)
י.א.ל.|be willing, consent (hifil)
י.ס.ף.|do again (hifil)
י.צ.א.|go out (qal); remove (hifil)
י.ר.שׁ.|inerit (qal); dispossess; cause to inherit (hifil)
י.נ.ק.|suck (qal); suckle, nurse (hifil)
י.ק.ץ.|wake up (qal)
י.ר.א.|fear (qal)
י.שׁ.ר.|be upright; be pleasing (qal)
אֹ֫הֶל|tent
הָמָן|Haman
אֶסְתֵּר|Esther
בַּקָּשָׁה|request; wish
מַלְכוּת|kingdom
א.ב.ד.|destroy; exterminate (piel)
אִלּוּ|if (in irreal conditions)
ח.ר.שׁ.|keep silent (hifil)
צַר|distress; enemy
שׁ.ו.ה.|be equal to (qal)
נֵ֫זֶק|damage
אֲחַשְׁוֵרוֹשׁ|Ahasuerus
אֵי־זֶה|where
בּ.ע.ת.|be frightened (nifal)
כּ.ו.ן.|be established (nifal)
גּ.ו.ר.|sojourn (qal)
שׁ.ו.ב.|return (qal); bring back (hifil)
נ.ו.ס.|flee (qal)
ק.ו.ם.|arise (qal); set up (hifil)
צ.ו.ם.|fast (qal)
מ.ו.ת.|die (qal); kill (hifil)
שׁ.י.ר.|sing (qal)
ע.ו.ף.|fly (qal)
ס.ו.ר.|turn aside (qal)
בּ.ו.שׁ.|be ashamed (qal)
בּ.י.ן.|understand (hifil)
חֵמָה|rage
גַּנָּה|garden
בִּיתָן|palace
כּ.ל.ה.|be finished; be decided (qal)
כּ.ב.שׁ.|violate (qal)
ח.פ.ה.|cover (head of condemned man) (qal)
חַרְבוֹנָה|Harbona
מָרְדֳּכַי|Mordechai
אַמָּה|cubit
תּ.ל.ה.|hang (qal)
שׁ.כ.ךְ.|decrease; subside (qal)
שׁ.מ.ם.|be amazed (hitpolel)
ר.ב.ב.|multiply; be great/many (qal)
ס.ב.ב.|surround (qal)
ה.ל.ל.|run around like a madman (hitpolel)
בּ.ז.ז.|plunder (qal)
ר.ע.ע.|be bad (qal)
ק.ד.ד.|bow down (qal)
ח.ו.ה.|prostrate oneself (hishtafel)
ח.נ.ן.|beg (hitpael)
מ.ר.ר.|embitter (hifil)
